epoch,accuracy,loss,val_accuracy,val_loss,cat_acc,dog_acc
0,145.4,730.5386925287551,40.0,190.248828753829,0.0,100.0
1,157.4,93.08770824223757,46.5,67.33787037432194,16.25,100.0
2,168.9,37.096268497407436,64.0,38.11805011704564,60.0,100.0
3,181.8,21.372446082532406,72.1,22.94755483046174,80.25,100.0
4,189.4,13.975672498345375,74.7,17.26991293951869,87.25,99.5
